timestamp,household_id,load_kW,solar_kW,latitude,longitude,time_of_day
2024-06-01 00:00:00,HH002,0.0961,0.0443,28.6000,77.2000,0.0000
2024-06-01 01:00:00,HH002,0.0841,0.3208,28.6000,77.2000,1.0000
2024-06-01 02:00:00,HH002,0.0781,0.8334,28.6000,77.2000,2.0000
2024-06-01 03:00:00,HH002,0.0751,1.3637,28.6000,77.2000,3.0000
2024-06-01 04:00:00,HH002,0.0781,1.7315,28.6000,77.2000,4.0000
2024-06-01 05:00:00,HH002,0.0901,1.9529,28.6000,77.2000,5.0000
2024-06-01 06:00:00,HH002,0.1261,2.0510,28.6000,77.2000,6.0000
2024-06-01 07:00:00,HH002,0.1568,2.0409,28.6000,77.2000,7.0000
2024-06-01 08:00:00,HH002,0.1757,1.8559,28.6000,77.2000,8.0000
2024-06-01 09:00:00,HH002,0.1817,1.5402,28.6000,77.2000,9.0000
2024-06-01 10:00:00,HH002,0.1824,1.1245,28.6000,77.2000,10.0000
2024-06-01 11:00:00,HH002,0.1554,0.6234,28.6000,77.2000,11.0000
2024-06-01 12:00:00,HH002,0.1520,0.1514,28.6000,77.2000,12.0000
2024-06-01 13:00:00,HH002,0.1589,0.0117,28.6000,77.2000,13.0000
2024-06-01 14:00:00,HH002,0.1485,0.0000,28.6000,77.2000,14.0000
2024-06-01 15:00:00,HH002,0.1554,0.0000,28.6000,77.2000,15.0000
2024-06-01 16:00:00,HH002,0.1727,0.0000,28.6000,77.2000,16.0000
2024-06-01 17:00:00,HH002,0.1742,0.0000,28.6000,77.2000,17.0000
2024-06-01 18:00:00,HH002,0.2162,0.0000,28.6000,77.2000,18.0000
2024-06-01 19:00:00,HH002,0.2553,0.0000,28.6000,77.2000,19.0000
2024-06-01 20:00:00,HH002,0.2853,0.0000,28.6000,77.2000,20.0000
2024-06-01 21:00:00,HH002,0.3003,0.0000,28.6000,77.2000,21.0000
2024-06-01 22:00:00,HH002,0.2463,0.0000,28.6000,77.2000,22.0000
2024-06-01 23:00:00,HH002,0.1652,0.0000,28.6000,77.2000,23.0000
