timestamp,household_id,load_kW,solar_kW,latitude,longitude,time_of_day
2024-06-01 00:00:00,HH009,0.1118,0.0290,28.6000,77.2000,0.0000
2024-06-01 01:00:00,HH009,0.0978,0.2096,28.6000,77.2000,1.0000
2024-06-01 02:00:00,HH009,0.0908,0.5446,28.6000,77.2000,2.0000
2024-06-01 03:00:00,HH009,0.0874,0.8911,28.6000,77.2000,3.0000
2024-06-01 04:00:00,HH009,0.0908,1.1314,28.6000,77.2000,4.0000
2024-06-01 05:00:00,HH009,0.1048,1.2761,28.6000,77.2000,5.0000
2024-06-01 06:00:00,HH009,0.1468,1.3402,28.6000,77.2000,6.0000
2024-06-01 07:00:00,HH009,0.1824,1.3336,28.6000,77.2000,7.0000
2024-06-01 08:00:00,HH009,0.2044,1.2127,28.6000,77.2000,8.0000
2024-06-01 09:00:00,HH009,0.2114,1.0065,28.6000,77.2000,9.0000
2024-06-01 10:00:00,HH009,0.2122,0.7348,28.6000,77.2000,10.0000
2024-06-01 11:00:00,HH009,0.1808,0.4073,28.6000,77.2000,11.0000
2024-06-01 12:00:00,HH009,0.1768,0.0989,28.6000,77.2000,12.0000
2024-06-01 13:00:00,HH009,0.1848,0.0077,28.6000,77.2000,13.0000
2024-06-01 14:00:00,HH009,0.1728,0.0000,28.6000,77.2000,14.0000
2024-06-01 15:00:00,HH009,0.1808,0.0000,28.6000,77.2000,15.0000
2024-06-01 16:00:00,HH009,0.2009,0.0000,28.6000,77.2000,16.0000
2024-06-01 17:00:00,HH009,0.2027,0.0000,28.6000,77.2000,17.0000
2024-06-01 18:00:00,HH009,0.2516,0.0000,28.6000,77.2000,18.0000
2024-06-01 19:00:00,HH009,0.2970,0.0000,28.6000,77.2000,19.0000
2024-06-01 20:00:00,HH009,0.3319,0.0000,28.6000,77.2000,20.0000
2024-06-01 21:00:00,HH009,0.3494,0.0000,28.6000,77.2000,21.0000
2024-06-01 22:00:00,HH009,0.2865,0.0000,28.6000,77.2000,22.0000
2024-06-01 23:00:00,HH009,0.1922,0.0000,28.6000,77.2000,23.0000
2024-06-02 00:00:00,HH009,0.1333,0.0291,28.6000,77.2000,0.0000
2024-06-02 01:00:00,HH009,0.1166,0.1979,28.6000,77.2000,1.0000
2024-06-02 02:00:00,HH009,0.1083,0.5542,28.6000,77.2000,2.0000
2024-06-02 03:00:00,HH009,0.1041,0.8580,28.6000,77.2000,3.0000
2024-06-02 04:00:00,HH009,0.1083,1.1138,28.6000,77.2000,4.0000
2024-06-02 05:00:00,HH009,0.1249,1.2247,28.6000,77.2000,5.0000
2024-06-02 06:00:00,HH009,0.1749,1.2780,28.6000,77.2000,6.0000
2024-06-02 07:00:00,HH009,0.2174,1.2486,28.6000,77.2000,7.0000
2024-06-02 08:00:00,HH009,0.2436,1.0385,28.6000,77.2000,8.0000
2024-06-02 09:00:00,HH009,0.2519,0.8749,28.6000,77.2000,9.0000
2024-06-02 10:00:00,HH009,0.2529,0.6954,28.6000,77.2000,10.0000
2024-06-02 11:00:00,HH009,0.2155,0.3118,28.6000,77.2000,11.0000
2024-06-02 12:00:00,HH009,0.2107,0.0791,28.6000,77.2000,12.0000
