timestamp,household_id,load_kW,solar_kW,latitude,longitude,time_of_day
2024-06-01 00:00:00,HH005,0.1723,0.0143,28.6000,77.2000,0.0000
2024-06-01 01:00:00,HH005,0.1508,0.1031,28.6000,77.2000,1.0000
2024-06-01 02:00:00,HH005,0.1400,0.2678,28.6000,77.2000,2.0000
2024-06-01 03:00:00,HH005,0.1346,0.4382,28.6000,77.2000,3.0000
2024-06-01 04:00:00,HH005,0.1400,0.5564,28.6000,77.2000,4.0000
2024-06-01 05:00:00,HH005,0.1616,0.6275,28.6000,77.2000,5.0000
2024-06-01 06:00:00,HH005,0.2262,0.6590,28.6000,77.2000,6.0000
2024-06-01 07:00:00,HH005,0.2811,0.6558,28.6000,77.2000,7.0000
2024-06-01 08:00:00,HH005,0.3151,0.5963,28.6000,77.2000,8.0000
2024-06-01 09:00:00,HH005,0.3258,0.4949,28.6000,77.2000,9.0000
2024-06-01 10:00:00,HH005,0.3270,0.3613,28.6000,77.2000,10.0000
2024-06-01 11:00:00,HH005,0.2787,0.2003,28.6000,77.2000,11.0000
2024-06-01 12:00:00,HH005,0.2725,0.0486,28.6000,77.2000,12.0000
2024-06-01 13:00:00,HH005,0.2849,0.0038,28.6000,77.2000,13.0000
2024-06-01 14:00:00,HH005,0.2663,0.0000,28.6000,77.2000,14.0000
2024-06-01 15:00:00,HH005,0.2787,0.0000,28.6000,77.2000,15.0000
2024-06-01 16:00:00,HH005,0.3097,0.0000,28.6000,77.2000,16.0000
2024-06-01 17:00:00,HH005,0.3124,0.0000,28.6000,77.2000,17.0000
2024-06-01 18:00:00,HH005,0.3878,0.0000,28.6000,77.2000,18.0000
2024-06-01 19:00:00,HH005,0.4578,0.0000,28.6000,77.2000,19.0000
2024-06-01 20:00:00,HH005,0.5116,0.0000,28.6000,77.2000,20.0000
2024-06-01 21:00:00,HH005,0.5386,0.0000,28.6000,77.2000,21.0000
2024-06-01 22:00:00,HH005,0.4416,0.0000,28.6000,77.2000,22.0000
2024-06-01 23:00:00,HH005,0.2962,0.0000,28.6000,77.2000,23.0000
2024-06-02 00:00:00,HH005,0.2206,0.0143,28.6000,77.2000,0.0000
2024-06-02 01:00:00,HH005,0.1930,0.0973,28.6000,77.2000,1.0000
2024-06-02 02:00:00,HH005,0.1792,0.2725,28.6000,77.2000,2.0000
2024-06-02 03:00:00,HH005,0.1723,0.4219,28.6000,77.2000,3.0000
2024-06-02 04:00:00,HH005,0.1792,0.5477,28.6000,77.2000,4.0000
2024-06-02 05:00:00,HH005,0.2068,0.6022,28.6000,77.2000,5.0000
2024-06-02 06:00:00,HH005,0.2895,0.6285,28.6000,77.2000,6.0000
2024-06-02 07:00:00,HH005,0.3599,0.6140,28.6000,77.2000,7.0000
2024-06-02 08:00:00,HH005,0.4033,0.5107,28.6000,77.2000,8.0000
2024-06-02 09:00:00,HH005,0.4171,0.4302,28.6000,77.2000,9.0000
2024-06-02 10:00:00,HH005,0.4186,0.3419,28.6000,77.2000,10.0000
2024-06-02 11:00:00,HH005,0.3568,0.1533,28.6000,77.2000,11.0000
2024-06-02 12:00:00,HH005,0.0000,0.0389,28.6000,77.2000,12.0000
2024-06-02 13:00:00,HH005,0.3647,0.0031,28.6000,77.2000,13.0000
2024-06-02 14:00:00,HH005,0.3409,0.0000,28.6000,77.2000,14.0000
2024-06-02 15:00:00,HH005,0.3568,0.0000,28.6000,77.2000,15.0000
2024-06-02 16:00:00,HH005,0.3964,0.0000,28.6000,77.2000,16.0000
2024-06-02 17:00:00,HH005,0.3998,0.0000,28.6000,77.2000,17.0000
